title,address,city,state,postal_code,price,facts and features,url,bed,bath,sqft,property_type
Co-op For Sale,1020 Union St APT 3,San Francisco,CA,94133,1258750.0,"1 bd , 1 ba , 1,180 sqft",https://www.zillow.com/homedetails/1020-Union-St-APT-3-San-Francisco-CA-94133/80735518_zpid/,1.0,1.0,1180.0,coop
Apartment For Sale,949 53 Lombard St,San Francisco,CA,94133,4895000.0,"Studio , -- ba , 4,626 sqft",https://www.zillow.com/homedetails/949-53-Lombard-St-San-Francisco-CA-94133/2091218261_zpid/,0.0,1.9903492647058822,4626.0,apartment
Condo For Sale,1070 Green St APT 201,San Francisco,CA,94133,2995000.0,"2 bds , 2 ba , 1,616 sqft",https://www.zillow.com/homedetails/1070-Green-St-APT-201-San-Francisco-CA-94133/15066001_zpid/,2.0,2.0,1616.0,condo
Apartment For Sale,757 759 Lombard St,San Francisco,CA,94133,1780000.0,"Studio , -- ba , 2,429 sqft",https://www.zillow.com/homedetails/757-759-Lombard-St-San-Francisco-CA-94133/2091395986_zpid/,0.0,1.9903492647058822,2429.0,apartment
Condo For Sale,601 Van Ness Ave APT 811,San Francisco,CA,94102,548000.0,"1 bd , 1 ba , 672 sqft",https://www.zillow.com/homedetails/601-Van-Ness-Ave-APT-811-San-Francisco-CA-94102/15077816_zpid/,1.0,1.0,672.0,condo
Condo For Sale,400 Grove St UNIT 102,San Francisco,CA,94102,799000.0,"1 bd , 1 ba , 678 sqft",https://www.zillow.com/homedetails/400-Grove-St-UNIT-102-San-Francisco-CA-94102/2095437201_zpid/,1.0,1.0,678.0,condo
Condo For Sale,388 Fulton St UNIT 208,San Francisco,CA,94102,689000.0,"Studio , 1 ba , 485 sqft",https://www.zillow.com/homedetails/388-Fulton-St-UNIT-208-San-Francisco-CA-94102/2092390196_zpid/,0.0,1.0,485.0,condo
Condo For Sale,750 Van Ness Ave UNIT 1102,San Francisco,CA,94102,529000.0,"Studio , 1 ba , 391 sqft",https://www.zillow.com/homedetails/750-Van-Ness-Ave-UNIT-1102-San-Francisco-CA-94102/83153568_zpid/,0.0,1.0,391.0,condo
Condo For Sale,8 Octavia St UNIT 407,San Francisco,CA,94102,287179.0,"Studio , 1 ba , 385 sqft",https://www.zillow.com/homedetails/8-Octavia-St-UNIT-407-San-Francisco-CA-94102/124397633_zpid/,0.0,1.0,385.0,condo
Apartment For Sale,690 692 Sutter St,San Francisco,CA,94102,4500000.0,"Studio , -- ba , 3,350 sqft",https://www.zillow.com/homedetails/690-692-Sutter-St-San-Francisco-CA-94102/2091999248_zpid/,0.0,1.9903492647058822,3350.0,apartment
Condo For Sale,601 Alabama St UNIT 209,San Francisco,CA,94110,1189000.0,"3 bds , 2 ba , 1,445 sqft",https://www.zillow.com/homedetails/601-Alabama-St-UNIT-209-San-Francisco-CA-94110/111711106_zpid/,3.0,2.0,1445.0,condo
New Construction,1188 Valencia St # 507,San Francisco,CA,94110,725000.0,"Studio , 1 ba , 430 sqft",https://www.zillow.com/homedetails/1188-Valencia-St-507-San-Francisco-CA-94110/2090712639_zpid/,0.0,1.0,430.0,new
House For Sale,985 San Bruno Ave,San Francisco,CA,94110,949000.0,"2 bds , 1 ba , 890 sqft",https://www.zillow.com/homedetails/985-San-Bruno-Ave-San-Francisco-CA-94110/15151008_zpid/,2.0,1.0,890.0,house
Apartment For Sale,354 Crescent Ave,San Francisco,CA,94110,1098000.0,"Studio , -- ba , 1,976 sqft",https://www.zillow.com/homedetails/354-Crescent-Ave-San-Francisco-CA-94110/15164550_zpid/,0.0,1.9903492647058822,1976.0,apartment
Apartment For Sale,1132-1134 Hampshire St,SAN FRANCISCO,CA,94110,1715000.0,"Studio , -- ba , 1,610 sqft",https://www.zillow.com/homedetails/1132-1134-Hampshire-St-San-Francisco-CA-94110/15151871_zpid/,0.0,1.9903492647058822,1610.0,apartment
House For Sale,92 Santa Marina St,San Francisco,CA,94110,1149000.0,"2 bds , 2 ba , 1,125 sqft",https://www.zillow.com/homedetails/92-Santa-Marina-St-San-Francisco-CA-94110/15163430_zpid/,2.0,2.0,1125.0,house
Condo For Sale,45 Bartlett St UNIT 313,San Francisco,CA,94110,789000.0,"1 bd , 1 ba , 631 sqft",https://www.zillow.com/homedetails/45-Bartlett-St-UNIT-313-San-Francisco-CA-94110/2090753790_zpid/,1.0,1.0,631.0,condo
Apartment For Sale,35 41 Holly Park Cir,San Francisco,CA,94110,1950000.0,"Studio , -- ba , 3,000 sqft",https://www.zillow.com/homedetails/35-41-Holly-Park-Cir-San-Francisco-CA-94110/2090778273_zpid/,0.0,1.9903492647058822,3000.0,apartment
House For Sale,497 Ellsworth St,San Francisco,CA,94110,799000.0,"1 bd , 1 ba , 625 sqft",https://www.zillow.com/homedetails/497-Ellsworth-St-San-Francisco-CA-94110/15163248_zpid/,1.0,1.0,625.0,house
Apartment For Sale,3830 Mission St,San Francisco,CA,94110,1298000.0,"Studio , -- ba , 2,462 sqft",https://www.zillow.com/homedetails/3830-Mission-St-San-Francisco-CA-94110/2090836209_zpid/,0.0,1.9903492647058822,2462.0,apartment
Apartment For Sale,1183-1185 Hampshire St,SAN FRANCISCO,CA,94110,1995000.0,"5 bds , 5 ba , 2,320 sqft",https://www.zillow.com/homedetails/1183-1185-Hampshire-St-San-Francisco-CA-94110/15151914_zpid/,5.0,5.0,2320.0,apartment
House For Sale,2725 20th St,San Francisco,CA,94110,1195000.0,"3 bds , 2 ba , 1,330 sqft",https://www.zillow.com/homedetails/2725-20th-St-San-Francisco-CA-94110/15150269_zpid/,3.0,2.0,1330.0,house
Coming Soon,730 Gates St,San Francisco,CA,94110,1690900.0,"3 bds , 4 ba , 1,600 sqft",https://www.zillow.com/homedetails/730-Gates-St-San-Francisco-CA-94110/15164681_zpid/,3.0,4.0,1600.0,coming
Apartment For Sale,2310 Bryant St,San Francisco,CA,94110,1950000.0,"4 bds , 3 ba , 1,838 sqft",https://www.zillow.com/homedetails/2310-Bryant-St-San-Francisco-CA-94110/2090861046_zpid/,4.0,3.0,1838.0,apartment
Apartment For Sale,3241 3247 23rd St,San Francisco,CA,94110,2250000.0,"Studio , -- ba , 4,696 sqft",https://www.zillow.com/homedetails/3241-3247-23rd-St-San-Francisco-CA-94110/2090903041_zpid/,0.0,1.9903492647058822,4696.0,apartment
Apartment For Sale,29 31a Highland Ave,San Francisco,CA,94110,1499000.0,"Studio , -- ba , 3,735 sqft",https://www.zillow.com/homedetails/29-31a-Highland-Ave-San-Francisco-CA-94110/2090908365_zpid/,0.0,1.9903492647058822,3735.0,apartment
House For Sale,188 Quane St,San Francisco,CA,94110,1495000.0,"2 bds , 3 ba , 1,080 sqft",https://www.zillow.com/homedetails/188-Quane-St-San-Francisco-CA-94110/2090926568_zpid/,2.0,3.0,1080.0,house
Apartment For Sale,671-673 Shotwell St,SAN FRANCISCO,CA,94110,2095000.0,"Studio , -- ba , 3,318 sqft",https://www.zillow.com/homedetails/671-673-Shotwell-St-San-Francisco-CA-94110/15145763_zpid/,0.0,1.9903492647058822,3318.0,apartment
Condo For Sale,1185 Hampshire St,San Francisco,CA,94110,997500.0,"2 bds , 1.5 ba , 1,245 sqft",https://www.zillow.com/homedetails/1185-Hampshire-St-San-Francisco-CA-94110/2090942102_zpid/,2.0,1.5,1245.0,condo
Condo For Sale,1861 Alabama St # 18632,San Francisco,CA,94110,550000.0,"1 bd , 1 ba , 900 sqft",https://www.zillow.com/homedetails/1861-Alabama-St-18632-San-Francisco-CA-94110/2090969798_zpid/,1.0,1.0,900.0,condo
Apartment For Sale,1294 1298 Guerrero St,San Francisco,CA,94110,1799000.0,"Studio , -- ba , 2,880 sqft",https://www.zillow.com/homedetails/1294-1298-Guerrero-St-San-Francisco-CA-94110/2094379630_zpid/,0.0,1.9903492647058822,2880.0,apartment
House For Sale,540 Funston Ave,San Francisco,CA,94118,4375000.0,"4 bds , 4 ba , 3,994 sqft",https://www.zillow.com/homedetails/540-Funston-Ave-San-Francisco-CA-94118/15095019_zpid/,4.0,4.0,3994.0,house
Condo For Sale,643 Lake St,San Francisco,CA,94118,1995000.0,"3 bds , 2 ba , 2,178 sqft",https://www.zillow.com/homedetails/643-Lake-St-San-Francisco-CA-94118/15089717_zpid/,3.0,2.0,2178.0,condo
House For Sale,718 16th Ave,San Francisco,CA,94118,2949000.0,"4 bds , 4 ba , 2,695 sqft",https://www.zillow.com/homedetails/718-16th-Ave-San-Francisco-CA-94118/15099114_zpid/,4.0,4.0,2695.0,house
Condo For Sale,355 3rd Ave,San Francisco,CA,94118,1495000.0,"3 bds , 2 ba , 1,422 sqft",https://www.zillow.com/homedetails/355-3rd-Ave-San-Francisco-CA-94118/2143188004_zpid/,3.0,2.0,1422.0,condo
Coming Soon,552 15th Ave,San Francisco,CA,94118,1798000.0,"4 bds , 2 ba , 2,000 sqft",https://www.zillow.com/homedetails/552-15th-Ave-San-Francisco-CA-94118/15095063_zpid/,4.0,2.0,2000.0,coming
